column,count,mean,std,min,25%,50%,75%,max
P_DEMO_INDFMPIR,13359.0,2.4059368216183845,1.634345732930304,0.0,1.02,1.96,3.88,5.0
P_BMX_BMDSTATS,14300.0,1.1348951048951048,0.5122997506576692,1.0,1.0,1.0,1.0,4.0
P_BMX_BMXWT,14075.0,65.42638010657194,33.33188047087182,3.2,42.3,68.1,86.3,254.3
P_BMX_BMXHT,13157.0,156.49018773276583,22.621412907338815,78.3,151.1,162.1,171.3,199.6
P_BMX_BMXBMI,13137.0,26.656847073152164,8.419842393731303,11.9,20.4,25.8,31.4,92.3
P_BMX_BMXLEG,10984.0,38.7456664238893,4.1325237227631595,24.8,36.0,38.9,41.5,55.0
P_BMX_BMXARML,13490.0,33.80272794662714,7.340123781376049,9.4,31.9,36.0,38.6,49.9
P_BMX_BMXARMC,13484.0,29.32000889943637,8.112806617292986,11.2,23.6,30.3,34.9,64.5
P_BMX_BMXWAIST,12574.0,89.66913472244315,23.15020623945101,40.0,73.3,91.0,105.4,187.5
P_CBC_LBXWBCSI,12156.0,7.277879236590984,4.245162385550971,1.9,5.7,6.9,8.4,400.0
P_CBC_LBXLYPCT,12151.0,34.00232079664225,10.648915764486919,3.1,26.6,33.0,40.1,89.7
P_CBC_LBXMOPCT,12151.0,8.170348119496337,2.2038515934338947,0.7,6.7,7.9,9.3,57.2
P_CBC_LBXNEPCT,12151.0,54.21575178997613,11.35332965466588,8.4,47.4,55.2,62.1,92.8
P_CBC_LBXEOPCT,12151.0,2.9678544975722163,2.339983890183193,0.0,1.5,2.3,3.7,29.1
P_CBC_LBXBAPCT,12151.0,0.7678051189202535,0.3276786243653607,0.1,0.5,0.7,0.9,4.8
P_CBC_LBDLYMNO,12151.0,2.444975722162785,3.4547910404474127,0.2,1.8,2.2,2.8,358.8
P_CBC_LBDMONO,12151.0,0.5782980824623487,0.20702621140689573,0.1,0.4,0.5,0.7,6.7
P_CBC_LBDNENO,12151.0,3.998395193811209,1.7135768359000867,0.4,2.8,3.7,4.9,35.2
P_CBC_LBDEONO,12151.0,0.2119825528763065,0.1857418316059419,0.0,0.1,0.2,0.3,3.8
P_CBC_LBDBANO,12151.0,0.05037445477738457,0.0516204861164138,0.0,0.0,0.0,0.1,0.5
P_CBC_LBXRBCSI,12156.0,4.719569759789405,0.47820401783043254,2.32,4.4,4.7,5.01,7.97
P_CBC_LBXHGB,12156.0,13.701324448831851,1.5247452579750358,5.4,12.7,13.6,14.7,19.9
P_CBC_LBXHCT,12156.0,40.76263573543929,4.192221049801865,21.1,37.9,40.6,43.6,58.8
P_CBC_LBXMCVSI,12156.0,86.62485192497532,6.573466241746728,35.4,82.9,87.2,90.9,114.6
P_CBC_LBXMC,12156.0,33.57971372161895,0.9478268636038397,25.2,33.0,33.6,34.2,38.4
P_CBC_LBXMCHSI,12156.0,29.105396512010532,2.5533196141776062,10.2,27.8,29.4,30.8,39.8
P_CBC_LBXRDW,12156.0,13.802706482395525,1.313347638783652,11.3,13.0,13.5,14.2,36.5
P_CBC_LBXPLTSI,12156.0,262.6412471207634,72.54833732596023,8.0,213.0,254.0,304.0,1021.0
P_CBC_LBXMPSI,12156.0,8.116905231984205,0.9194375247817321,5.4,7.5,8.0,8.7,13.0
P_CBC_LBXNRBC,12151.0,0.0821989959674101,0.09228674352847745,0.0,0.0,0.1,0.1,3.0
P_COT_LBXCOT,11395.0,41.49242659060992,112.83091569533778,0.011,0.011,0.034,0.7925,1620.0
P_COT_LBDCOTLC,11395.0,0.328565160157964,0.46971210080390924,0.0,0.0,0.0,1.0,1.0
P_COT_LBXHCOT,11395.0,16.44846116717859,52.837753809066,0.011,0.011,0.011,0.2585,1520.0
P_COT_LBDHCOLC,11395.0,0.5260201842913559,0.4993444021519595,0.0,0.0,1.0,1.0,1.0
P_ALB_CR_URXUMA,12510.0,46.510537170263795,316.1688291305825,0.21,4.9,9.3,18.7,16070.0
P_ALB_CR_URXUMS,12510.0,46.510537170263795,316.1688291305825,0.21,4.9,9.3,18.7,16070.0
P_ALB_CR_URDUMALC,12510.0,0.0001598721023181455,0.012643548621804732,0.0,0.0,0.0,0.0,1.0
P_ALB_CR_URXUCR,12509.0,127.24047325925335,85.75110978069958,3.54,62.0,111.0,173.0,739.0
P_ALB_CR_URXCRS,12509.0,11248.057830362137,7580.398112917594,312.9,5480.8,9812.4,15293.2,65327.6
P_ALB_CR_URDUCRLC,12509.0,0.0001598848828843233,0.012644053949370062,0.0,0.0,0.0,0.0,1.0
P_ALB_CR_URDACT,12509.0,44.06005116316252,302.925541335032,0.27,5.2,8.21,15.83,11676.92
P_DR1TOT_WTDRD1PP,14300.0,22540.151887412238,33503.73395217286,0.0,5628.9243255,12283.801299499999,26103.79862775,538404.429708
P_DR1TOT_WTDR2DPP,12634.0,25512.4403981344,41427.04352146708,0.0,4904.4318275,12637.919381,29399.734028,702943.597734
P_DR1TOT_DR1DRSTZ,14300.0,1.4748251748251748,1.2574677153327463,1.0,1.0,1.0,1.0,5.0
P_DR1TOT_DR1EXMER,12834.0,73.05243883434626,21.416199585007703,14.0,73.0,81.0,86.0,94.0
P_DR1TOT_DRABF,12634.0,1.9806870349849612,0.13762802637306454,1.0,2.0,2.0,2.0,2.0
P_DR1TOT_DRDINT,12634.0,1.8572107012822543,0.349871696254787,1.0,2.0,2.0,2.0,2.0
P_DR1TOT_DR1DBIH,12170.0,12.103451109285128,12.920487810592034,-42.0,3.0,9.0,19.0,91.0
P_DR1TOT_DR1DAY,12834.0,4.548776686925354,2.1909180753943667,1.0,3.0,5.0,6.0,7.0
P_DR1TOT_DR1LANG,12848.0,1.1328611457036115,0.4851821615848852,1.0,1.0,1.0,1.0,6.0
P_DR1TOT_DR1MRESP,12623.0,1.3155351342786976,1.1199004938653623,1.0,1.0,1.0,1.0,77.0
P_DR1TOT_DR1HELP,12611.0,10.734358893029894,3.249572683329336,1.0,12.0,12.0,12.0,12.0
P_DR1TOT_DBQ095Z,12834.0,3.7147420913199314,12.547072345861729,1.0,1.0,1.0,4.0,99.0
P_DR1TOT_DRQSPREP,12834.0,3.1842761414991427,1.2770012713263608,1.0,2.0,3.0,4.0,9.0
P_DR1TOT_DR1STY,12834.0,1.9224715599189652,0.7992564144444861,1.0,2.0,2.0,2.0,9.0
P_DR1TOT_DRQSDIET,12834.0,1.9480286738351253,0.7540294171929305,1.0,2.0,2.0,2.0,9.0
P_DR1TOT_DR1TNUMF,12634.0,14.556751622605667,5.721842071823855,0.0,10.0,14.0,18.0,46.0
P_DR1TOT_DR1TKCAL,12392.0,1996.37580697224,984.880382829568,0.0,1323.75,1824.0,2480.0,12501.0
P_DR1TOT_DR1TPROT,12392.0,72.27539864428664,40.80262703036839,0.0,44.947500000000005,64.76,91.12,545.2
P_DR1TOT_DR1TCARB,12392.0,238.8129397998709,123.25738687389833,0.0,155.8175,218.6,298.5075,1586.24
P_DR1TOT_DR1TSUGR,12392.0,105.54165832795351,71.7453204348211,0.0,57.9375,90.81,135.18,931.1600000000002
P_DR1TOT_DR1TFIBE,12392.0,14.888799225306649,9.847688192753798,0.0,8.2,12.8,19.125000000000004,107.8
P_DR1TOT_DR1TTFAT,12392.0,81.03000322788897,47.272919674473926,0.0,48.47,71.815,103.26,567.9599999999999
P_DR1TOT_DR1TCHOL,12392.0,276.8757262750161,240.4375165986819,0.0,113.0,205.0,371.0,2403.0
P_DR1TOT_DR1TVB12,12392.0,4.360374435119432,5.402223108645677,0.0,1.82,3.27,5.4,248.71
P_DR1TOT_DR1TVC,12392.0,76.72672692059393,88.69716757118027,0.0,18.8,50.2,105.2,1977.4000000000003
P_DR1TOT_DR1TVD,12392.0,4.6318269851517115,5.273970472212416,0.0,1.3,3.3000000000000003,6.2,105.7
P_DR1TOT_DR1TCALC,12392.0,905.5118624919303,567.3449094937591,0.0,519.0,796.0,1157.25,7038.0
P_DR1TOT_DR1TIRON,12392.0,13.187529051000645,8.138594525901658,0.0,7.929999999999999,11.519999999999998,16.36,171.89000000000004
