ID,GroupLabel,Statistic,Test_Phase,BR_Day,Unit,Value
136,Control,MEAN,POST_TEST,5,CD8+/CD69+ (%),4
137,Control,SERR,PRE_TEST,10,CD8+/CD69+ (%),0.8
138,Control,SERR,IN_TEST,28,CD8+/CD69+ (%),0.7
139,Control,SERR,IN_TEST,71,CD8+/CD69+ (%),0.7
140,Control,SERR,POST_TEST,5,CD8+/CD69+ (%),0.7
141,Control,TTEST,PRE_TEST,10,CD8+/CD69+ (%),NA
142,Control,TTEST,IN_TEST,28,CD8+/CD69+ (%),0.161
143,Control,TTEST,IN_TEST,71,CD8+/CD69+ (%),0.034
144,Control,TTEST,POST_TEST,5,CD8+/CD69+ (%),0.012
145,Control,MEAN,PRE_TEST,10,CD4+/HLA-DR+ (%),5
146,Control,MEAN,IN_TEST,28,CD4+/HLA-DR+ (%),5
147,Control,MEAN,IN_TEST,71,CD4+/HLA-DR+ (%),5
148,Control,MEAN,POST_TEST,5,CD4+/HLA-DR+ (%),6
149,Control,SERR,PRE_TEST,10,CD4+/HLA-DR+ (%),0.8
150,Control,SERR,IN_TEST,28,CD4+/HLA-DR+ (%),1.1
151,Control,SERR,IN_TEST,71,CD4+/HLA-DR+ (%),1.1
152,Control,SERR,POST_TEST,5,CD4+/HLA-DR+ (%),1.4
153,Control,TTEST,PRE_TEST,10,CD4+/HLA-DR+ (%),NA
154,Control,TTEST,IN_TEST,28,CD4+/HLA-DR+ (%),0.401
155,Control,TTEST,IN_TEST,71,CD4+/HLA-DR+ (%),0.706
156,Control,TTEST,POST_TEST,5,CD4+/HLA-DR+ (%),0.359
157,Control,MEAN,PRE_TEST,10,CD8+/HLA-DR+ (%),7
158,Control,MEAN,IN_TEST,28,CD8+/HLA-DR+ (%),6
159,Control,MEAN,IN_TEST,71,CD8+/HLA-DR+ (%),7
160,Control,MEAN,POST_TEST,5,CD8+/HLA-DR+ (%),9
161,Control,SERR,PRE_TEST,10,CD8+/HLA-DR+ (%),2.1
162,Control,SERR,IN_TEST,28,CD8+/HLA-DR+ (%),1.7
163,Control,SERR,IN_TEST,71,CD8+/HLA-DR+ (%),1.9
164,Control,SERR,POST_TEST,5,CD8+/HLA-DR+ (%),2.7
165,Control,TTEST,PRE_TEST,10,CD8+/HLA-DR+ (%),NA
166,Control,TTEST,IN_TEST,28,CD8+/HLA-DR+ (%),0.401
167,Control,TTEST,IN_TEST,71,CD8+/HLA-DR+ (%),0.912
168,Control,TTEST,POST_TEST,5,CD8+/HLA-DR+ (%),0.588
169,Control,MEAN,PRE_TEST,10,CD4+/IL-2+ (IFNg-) (%),40
170,Control,MEAN,IN_TEST,28,CD4+/IL-2+ (IFNg-) (%),45
171,Control,MEAN,IN_TEST,71,CD4+/IL-2+ (IFNg-) (%),46
172,Control,MEAN,POST_TEST,5,CD4+/IL-2+ (IFNg-) (%),48
173,Control,SERR,PRE_TEST,10,CD4+/IL-2+ (IFNg-) (%),3.9
174,Control,SERR,IN_TEST,28,CD4+/IL-2+ (IFNg-) (%),3.0
175,Control,SERR,IN_TEST,71,CD4+/IL-2+ (IFNg-) (%),2.8
176,Control,SERR,POST_TEST,5,CD4+/IL-2+ (IFNg-) (%),2.9
177,Control,TTEST,PRE_TEST,10,CD4+/IL-2+ (IFNg-) (%),NA
178,Control,TTEST,IN_TEST,28,CD4+/IL-2+ (IFNg-) (%),0.304
179,Control,TTEST,IN_TEST,71,CD4+/IL-2+ (IFNg-) (%),0.048
180,Control,TTEST,POST_TEST,5,CD4+/IL-2+ (IFNg-) (%),0.039
181,Control,MEAN,PRE_TEST,10,CD4+/IFNg+ (%),37
182,Control,MEAN,IN_TEST,28,CD4+/IFNg+ (%),27
183,Control,MEAN,IN_TEST,71,CD4+/IFNg+ (%),26
184,Control,MEAN,POST_TEST,5,CD4+/IFNg+ (%),25
185,Control,SERR,PRE_TEST,10,CD4+/IFNg+ (%),5.6
186,Control,SERR,IN_TEST,28,CD4+/IFNg+ (%),2.6
187,Control,SERR,IN_TEST,71,CD4+/IFNg+ (%),3.5
188,Control,SERR,POST_TEST,5,CD4+/IFNg+ (%),3.3
189,Control,TTEST,PRE_TEST,10,CD4+/IFNg+ (%),NA
190,Control,TTEST,IN_TEST,28,CD4+/IFNg+ (%),0.015
191,Control,TTEST,IN_TEST,71,CD4+/IFNg+ (%),0.005
192,Control,TTEST,POST_TEST,5,CD4+/IFNg+ (%),0.027
193,Control,MEAN,PRE_TEST,10,CD8+/IFNg+ (IL-2-) (%),37
194,Control,MEAN,IN_TEST,28,CD8+/IFNg+ (IL-2-) (%),40
195,Control,MEAN,IN_TEST,71,CD8+/IFNg+ (IL-2-) (%),42
196,Control,MEAN,POST_TEST,5,CD8+/IFNg+ (IL-2-) (%),36
197,Control,SERR,PRE_TEST,10,CD8+/IFNg+ (IL-2-) (%),6.5
198,Control,SERR,IN_TEST,28,CD8+/IFNg+ (IL-2-) (%),4.9
199,Control,SERR,IN_TEST,71,CD8+/IFNg+ (IL-2-) (%),4.7
200,Control,SERR,POST_TEST,5,CD8+/IFNg+ (IL-2-) (%),4.9
201,Control,TTEST,PRE_TEST,10,CD8+/IFNg+ (IL-2-) (%),NA
202,Control,TTEST,IN_TEST,28,CD8+/IFNg+ (IL-2-) (%),0.468
203,Control,TTEST,IN_TEST,71,CD8+/IFNg+ (IL-2-) (%),0.144
204,Control,TTEST,POST_TEST,5,CD8+/IFNg+ (IL-2-) (%),0.701
205,Control,MEAN,PRE_TEST,10,CD8+/IL-2+ (%),13
206,Control,MEAN,IN_TEST,28,CD8+/IL-2+ (%),13
207,Control,MEAN,IN_TEST,71,CD8+/IL-2+ (%),13
208,Control,MEAN,POST_TEST,5,CD8+/IL-2+ (%),15
209,Control,SERR,PRE_TEST,10,CD8+/IL-2+ (%),1.6
210,Control,SERR,IN_TEST,28,CD8+/IL-2+ (%),1.4
211,Control,SERR,IN_TEST,71,CD8+/IL-2+ (%),1.1
212,Control,SERR,POST_TEST,5,CD8+/IL-2+ (%),1.4
213,Control,TTEST,PRE_TEST,10,CD8+/IL-2+ (%),NA
214,Control,TTEST,IN_TEST,28,CD8+/IL-2+ (%),0.714
215,Control,TTEST,IN_TEST,71,CD8+/IL-2+ (%),0.934
216,Control,TTEST,POST_TEST,5,CD8+/IL-2+ (%),0.437
217,Control,MEAN,PRE_TEST,10,CD4+/CD69+/CD25+ (%) A+B-24hr,11
218,Control,MEAN,IN_TEST,28,CD4+/CD69+/CD25+ (%) A+B-24hr,11
219,Control,MEAN,IN_TEST,71,CD4+/CD69+/CD25+ (%) A+B-24hr,12
220,Control,MEAN,POST_TEST,5,CD4+/CD69+/CD25+ (%) A+B-24hr,11
221,Control,SERR,PRE_TEST,10,CD4+/CD69+/CD25+ (%) A+B-24hr,1.2
222,Control,SERR,IN_TEST,28,CD4+/CD69+/CD25+ (%) A+B-24hr,1.4
223,Control,SERR,IN_TEST,71,CD4+/CD69+/CD25+ (%) A+B-24hr,1.2
224,Control,SERR,POST_TEST,5,CD4+/CD69+/CD25+ (%) A+B-24hr,1.6
225,Control,TTEST,PRE_TEST,10,CD4+/CD69+/CD25+ (%) A+B-24hr,NA
226,Control,TTEST,IN_TEST,28,CD4+/CD69+/CD25+ (%) A+B-24hr,0.695
227,Control,TTEST,IN_TEST,71,CD4+/CD69+/CD25+ (%) A+B-24hr,0.439
228,Control,TTEST,POST_TEST,5,CD4+/CD69+/CD25+ (%) A+B-24hr,0.899
229,Control,MEAN,PRE_TEST,10,CD8+/CD69+/CD25+ (%) A+B-24hr,6
230,Control,MEAN,IN_TEST,28,CD8+/CD69+/CD25+ (%) A+B-24hr,4
231,Control,MEAN,IN_TEST,71,CD8+/CD69+/CD25+ (%) A+B-24hr,4
232,Control,MEAN,POST_TEST,5,CD8+/CD69+/CD25+ (%) A+B-24hr,5
233,Control,SERR,PRE_TEST,10,CD8+/CD69+/CD25+ (%) A+B-24hr,1.0
234,Control,SERR,IN_TEST,28,CD8+/CD69+/CD25+ (%) A+B-24hr,0.6
235,Control,SERR,IN_TEST,71,CD8+/CD69+/CD25+ (%) A+B-24hr,0.5
236,Control,SERR,POST_TEST,5,CD8+/CD69+/CD25+ (%) A+B-24hr,0.6
237,Control,TTEST,PRE_TEST,10,CD8+/CD69+/CD25+ (%) A+B-24hr,NA
238,Control,TTEST,IN_TEST,28,CD8+/CD69+/CD25+ (%) A+B-24hr,0.027
239,Control,TTEST,IN_TEST,71,CD8+/CD69+/CD25+ (%) A+B-24hr,0.046
240,Control,TTEST,POST_TEST,5,CD8+/CD69+/CD25+ (%) A+B-24hr,0.270
241,Control,MEAN,PRE_TEST,10,CD4+/CD69+/CD25+ (%) 3/28 24hr,56
242,Control,MEAN,IN_TEST,28,CD4+/CD69+/CD25+ (%) 3/28 24hr,57
243,Control,MEAN,IN_TEST,71,CD4+/CD69+/CD25+ (%) 3/28 24hr,54
244,Control,MEAN,POST_TEST,5,CD4+/CD69+/CD25+ (%) 3/28 24hr,58
245,Control,SERR,PRE_TEST,10,CD4+/CD69+/CD25+ (%) 3/28 24hr,3.5
246,Control,SERR,IN_TEST,28,CD4+/CD69+/CD25+ (%) 3/28 24hr,4.4
247,Control,SERR,IN_TEST,71,CD4+/CD69+/CD25+ (%) 3/28 24hr,4.1
248,Control,SERR,POST_TEST,5,CD4+/CD69+/CD25+ (%) 3/28 24hr,3.7
249,Control,TTEST,PRE_TEST,10,CD4+/CD69+/CD25+ (%) 3/28 24hr,NA
250,Control,TTEST,IN_TEST,28,CD4+/CD69+/CD25+ (%) 3/28 24hr,0.664
251,Control,TTEST,IN_TEST,71,CD4+/CD69+/CD25+ (%) 3/28 24hr,0.292
252,Control,TTEST,POST_TEST,5,CD4+/CD69+/CD25+ (%) 3/28 24hr,0.658
253,Control,MEAN,PRE_TEST,10,CD8+/CD69+/CD25+ (%) 3/28/24hr,36
254,Control,MEAN,IN_TEST,28,CD8+/CD69+/CD25+ (%) 3/28/24hr,37
255,Control,MEAN,IN_TEST,71,CD8+/CD69+/CD25+ (%) 3/28/24hr,30
256,Control,MEAN,POST_TEST,5,CD8+/CD69+/CD25+ (%) 3/28/24hr,35
257,Control,SERR,PRE_TEST,10,CD8+/CD69+/CD25+ (%) 3/28/24hr,6.8
258,Control,SERR,IN_TEST,28,CD8+/CD69+/CD25+ (%) 3/28/24hr,4.7
259,Control,SERR,IN_TEST,71,CD8+/CD69+/CD25+ (%) 3/28/24hr,3.1
260,Control,SERR,POST_TEST,5,CD8+/CD69+/CD25+ (%) 3/28/24hr,3.8
261,Control,TTEST,PRE_TEST,10,CD8+/CD69+/CD25+ (%) 3/28/24hr,NA
262,Control,TTEST,IN_TEST,28,CD8+/CD69+/CD25+ (%) 3/28/24hr,0.938
263,Control,TTEST,IN_TEST,71,CD8+/CD69+/CD25+ (%) 3/28/24hr,0.313
264,Control,TTEST,POST_TEST,5,CD8+/CD69+/CD25+ (%) 3/28/24hr,0.827
265,Exercise,MEAN,PRE_TEST,10,GRANULOCYTES (%),55
266,Exercise,MEAN,IN_TEST,28,GRANULOCYTES (%),55
267,Exercise,MEAN,IN_TEST,71,GRANULOCYTES (%),55
268,Exercise,MEAN,POST_TEST,5,GRANULOCYTES (%),55
269,Exercise,SERR,PRE_TEST,10,GRANULOCYTES (%),1.8
270,Exercise,SERR,IN_TEST,28,GRANULOCYTES (%),2.5
271,Exercise,SERR,IN_TEST,71,GRANULOCYTES (%),1.7
272,Exercise,SERR,POST_TEST,5,GRANULOCYTES (%),1.6
273,Exercise,TTEST,PRE_TEST,10,GRANULOCYTES (%),NA
274,Exercise,TTEST,IN_TEST,28,GRANULOCYTES (%),0.863
275,Exercise,TTEST,IN_TEST,71,GRANULOCYTES (%),0.924
276,Exercise,TTEST,POST_TEST,5,GRANULOCYTES (%),0.988
277,Exercise,MEAN,PRE_TEST,10,LYMPHOCYTES (%),39
278,Exercise,MEAN,IN_TEST,28,LYMPHOCYTES (%),39
279,Exercise,MEAN,IN_TEST,71,LYMPHOCYTES (%),38
280,Exercise,MEAN,POST_TEST,5,LYMPHOCYTES (%),37
281,Exercise,SERR,PRE_TEST,10,LYMPHOCYTES (%),2.1
