ID,GroupLabel,Statistic,Test_Phase,BR_Day,Unit,Value
689,Exercise + Testosterone,SERR,PRE_TEST,10,CD8+/HLA-DR+ (%),2.5
690,Exercise + Testosterone,SERR,IN_TEST,28,CD8+/HLA-DR+ (%),1.9
691,Exercise + Testosterone,SERR,IN_TEST,71,CD8+/HLA-DR+ (%),3.0
692,Exercise + Testosterone,SERR,POST_TEST,5,CD8+/HLA-DR+ (%),1.5
693,Exercise + Testosterone,TTEST,PRE_TEST,10,CD8+/HLA-DR+ (%),NA
694,Exercise + Testosterone,TTEST,IN_TEST,28,CD8+/HLA-DR+ (%),0.693
695,Exercise + Testosterone,TTEST,IN_TEST,71,CD8+/HLA-DR+ (%),0.252
696,Exercise + Testosterone,TTEST,POST_TEST,5,CD8+/HLA-DR+ (%),0.770
697,Exercise + Testosterone,MEAN,PRE_TEST,10,CD4+/IL-2+ (IFNg-) (%),46
698,Exercise + Testosterone,MEAN,IN_TEST,28,CD4+/IL-2+ (IFNg-) (%),42
699,Exercise + Testosterone,MEAN,IN_TEST,71,CD4+/IL-2+ (IFNg-) (%),42
700,Exercise + Testosterone,MEAN,POST_TEST,5,CD4+/IL-2+ (IFNg-) (%),47
701,Exercise + Testosterone,SERR,PRE_TEST,10,CD4+/IL-2+ (IFNg-) (%),2.6
702,Exercise + Testosterone,SERR,IN_TEST,28,CD4+/IL-2+ (IFNg-) (%),3.0
703,Exercise + Testosterone,SERR,IN_TEST,71,CD4+/IL-2+ (IFNg-) (%),4.4
704,Exercise + Testosterone,SERR,POST_TEST,5,CD4+/IL-2+ (IFNg-) (%),2.1
705,Exercise + Testosterone,TTEST,PRE_TEST,10,CD4+/IL-2+ (IFNg-) (%),NA
706,Exercise + Testosterone,TTEST,IN_TEST,28,CD4+/IL-2+ (IFNg-) (%),0.278
707,Exercise + Testosterone,TTEST,IN_TEST,71,CD4+/IL-2+ (IFNg-) (%),0.421
708,Exercise + Testosterone,TTEST,POST_TEST,5,CD4+/IL-2+ (IFNg-) (%),0.539
709,Exercise + Testosterone,MEAN,PRE_TEST,10,CD4+/IFNg+ (%),30
710,Exercise + Testosterone,MEAN,IN_TEST,28,CD4+/IFNg+ (%),25
711,Exercise + Testosterone,MEAN,IN_TEST,71,CD4+/IFNg+ (%),27
712,Exercise + Testosterone,MEAN,POST_TEST,5,CD4+/IFNg+ (%),22
713,Exercise + Testosterone,SERR,PRE_TEST,10,CD4+/IFNg+ (%),3.5
714,Exercise + Testosterone,SERR,IN_TEST,28,CD4+/IFNg+ (%),2.9
715,Exercise + Testosterone,SERR,IN_TEST,71,CD4+/IFNg+ (%),4.5
716,Exercise + Testosterone,SERR,POST_TEST,5,CD4+/IFNg+ (%),2.4
717,Exercise + Testosterone,TTEST,PRE_TEST,10,CD4+/IFNg+ (%),NA
718,Exercise + Testosterone,TTEST,IN_TEST,28,CD4+/IFNg+ (%),0.171
719,Exercise + Testosterone,TTEST,IN_TEST,71,CD4+/IFNg+ (%),0.574
720,Exercise + Testosterone,TTEST,POST_TEST,5,CD4+/IFNg+ (%),0.035
721,Exercise + Testosterone,MEAN,PRE_TEST,10,CD8+/IFNg+ (IL-2-) (%),35
722,Exercise + Testosterone,MEAN,IN_TEST,28,CD8+/IFNg+ (IL-2-) (%),37
723,Exercise + Testosterone,MEAN,IN_TEST,71,CD8+/IFNg+ (IL-2-) (%),38
724,Exercise + Testosterone,MEAN,POST_TEST,5,CD8+/IFNg+ (IL-2-) (%),37
725,Exercise + Testosterone,SERR,PRE_TEST,10,CD8+/IFNg+ (IL-2-) (%),6.7
726,Exercise + Testosterone,SERR,IN_TEST,28,CD8+/IFNg+ (IL-2-) (%),6.6
727,Exercise + Testosterone,SERR,IN_TEST,71,CD8+/IFNg+ (IL-2-) (%),7.7
728,Exercise + Testosterone,SERR,POST_TEST,5,CD8+/IFNg+ (IL-2-) (%),5.5
729,Exercise + Testosterone,TTEST,PRE_TEST,10,CD8+/IFNg+ (IL-2-) (%),NA
730,Exercise + Testosterone,TTEST,IN_TEST,28,CD8+/IFNg+ (IL-2-) (%),0.260
731,Exercise + Testosterone,TTEST,IN_TEST,71,CD8+/IFNg+ (IL-2-) (%),0.396
732,Exercise + Testosterone,TTEST,POST_TEST,5,CD8+/IFNg+ (IL-2-) (%),0.429
733,Exercise + Testosterone,MEAN,PRE_TEST,10,CD8+/IL-2+ (%),14
734,Exercise + Testosterone,MEAN,IN_TEST,28,CD8+/IL-2+ (%),13
735,Exercise + Testosterone,MEAN,IN_TEST,71,CD8+/IL-2+ (%),14
736,Exercise + Testosterone,MEAN,POST_TEST,5,CD8+/IL-2+ (%),14
737,Exercise + Testosterone,SERR,PRE_TEST,10,CD8+/IL-2+ (%),1.9
738,Exercise + Testosterone,SERR,IN_TEST,28,CD8+/IL-2+ (%),1.2
739,Exercise + Testosterone,SERR,IN_TEST,71,CD8+/IL-2+ (%),1.8
740,Exercise + Testosterone,SERR,POST_TEST,5,CD8+/IL-2+ (%),1.8
741,Exercise + Testosterone,TTEST,PRE_TEST,10,CD8+/IL-2+ (%),NA
742,Exercise + Testosterone,TTEST,IN_TEST,28,CD8+/IL-2+ (%),0.509
743,Exercise + Testosterone,TTEST,IN_TEST,71,CD8+/IL-2+ (%),0.962
744,Exercise + Testosterone,TTEST,POST_TEST,5,CD8+/IL-2+ (%),0.967
745,Exercise + Testosterone,MEAN,PRE_TEST,10,CD4+/CD69+/CD25+ (%) A+B-24hr,10
746,Exercise + Testosterone,MEAN,IN_TEST,28,CD4+/CD69+/CD25+ (%) A+B-24hr,10
747,Exercise + Testosterone,MEAN,IN_TEST,71,CD4+/CD69+/CD25+ (%) A+B-24hr,10
748,Exercise + Testosterone,MEAN,POST_TEST,5,CD4+/CD69+/CD25+ (%) A+B-24hr,9
749,Exercise + Testosterone,SERR,PRE_TEST,10,CD4+/CD69+/CD25+ (%) A+B-24hr,1.4
750,Exercise + Testosterone,SERR,IN_TEST,28,CD4+/CD69+/CD25+ (%) A+B-24hr,1.5
751,Exercise + Testosterone,SERR,IN_TEST,71,CD4+/CD69+/CD25+ (%) A+B-24hr,2.0
752,Exercise + Testosterone,SERR,POST_TEST,5,CD4+/CD69+/CD25+ (%) A+B-24hr,1.4
753,Exercise + Testosterone,TTEST,PRE_TEST,10,CD4+/CD69+/CD25+ (%) A+B-24hr,NA
754,Exercise + Testosterone,TTEST,IN_TEST,28,CD4+/CD69+/CD25+ (%) A+B-24hr,0.626
755,Exercise + Testosterone,TTEST,IN_TEST,71,CD4+/CD69+/CD25+ (%) A+B-24hr,0.911
756,Exercise + Testosterone,TTEST,POST_TEST,5,CD4+/CD69+/CD25+ (%) A+B-24hr,0.270
757,Exercise + Testosterone,MEAN,PRE_TEST,10,CD8+/CD69+/CD25+ (%) A+B-24hr,5
758,Exercise + Testosterone,MEAN,IN_TEST,28,CD8+/CD69+/CD25+ (%) A+B-24hr,5
759,Exercise + Testosterone,MEAN,IN_TEST,71,CD8+/CD69+/CD25+ (%) A+B-24hr,5
760,Exercise + Testosterone,MEAN,POST_TEST,5,CD8+/CD69+/CD25+ (%) A+B-24hr,4
761,Exercise + Testosterone,SERR,PRE_TEST,10,CD8+/CD69+/CD25+ (%) A+B-24hr,0.8
762,Exercise + Testosterone,SERR,IN_TEST,28,CD8+/CD69+/CD25+ (%) A+B-24hr,1.2
763,Exercise + Testosterone,SERR,IN_TEST,71,CD8+/CD69+/CD25+ (%) A+B-24hr,1.1
764,Exercise + Testosterone,SERR,POST_TEST,5,CD8+/CD69+/CD25+ (%) A+B-24hr,1.1
765,Exercise + Testosterone,TTEST,PRE_TEST,10,CD8+/CD69+/CD25+ (%) A+B-24hr,NA
766,Exercise + Testosterone,TTEST,IN_TEST,28,CD8+/CD69+/CD25+ (%) A+B-24hr,0.846
767,Exercise + Testosterone,TTEST,IN_TEST,71,CD8+/CD69+/CD25+ (%) A+B-24hr,0.949
768,Exercise + Testosterone,TTEST,POST_TEST,5,CD8+/CD69+/CD25+ (%) A+B-24hr,0.322
769,Exercise + Testosterone,MEAN,PRE_TEST,10,CD4+/CD69+/CD25+ (%) 3/28 24hr,55
770,Exercise + Testosterone,MEAN,IN_TEST,28,CD4+/CD69+/CD25+ (%) 3/28 24hr,61
771,Exercise + Testosterone,MEAN,IN_TEST,71,CD4+/CD69+/CD25+ (%) 3/28 24hr,59
772,Exercise + Testosterone,MEAN,POST_TEST,5,CD4+/CD69+/CD25+ (%) 3/28 24hr,58
773,Exercise + Testosterone,SERR,PRE_TEST,10,CD4+/CD69+/CD25+ (%) 3/28 24hr,3.5
774,Exercise + Testosterone,SERR,IN_TEST,28,CD4+/CD69+/CD25+ (%) 3/28 24hr,1.5
775,Exercise + Testosterone,SERR,IN_TEST,71,CD4+/CD69+/CD25+ (%) 3/28 24hr,2.8
776,Exercise + Testosterone,SERR,POST_TEST,5,CD4+/CD69+/CD25+ (%) 3/28 24hr,1.6
777,Exercise + Testosterone,TTEST,PRE_TEST,10,CD4+/CD69+/CD25+ (%) 3/28 24hr,NA
778,Exercise + Testosterone,TTEST,IN_TEST,28,CD4+/CD69+/CD25+ (%) 3/28 24hr,0.138
779,Exercise + Testosterone,TTEST,IN_TEST,71,CD4+/CD69+/CD25+ (%) 3/28 24hr,0.151
780,Exercise + Testosterone,TTEST,POST_TEST,5,CD4+/CD69+/CD25+ (%) 3/28 24hr,0.401
781,Exercise + Testosterone,MEAN,PRE_TEST,10,CD8+/CD69+/CD25+ (%) 3/28/24hr,36
782,Exercise + Testosterone,MEAN,IN_TEST,28,CD8+/CD69+/CD25+ (%) 3/28/24hr,42
783,Exercise + Testosterone,MEAN,IN_TEST,71,CD8+/CD69+/CD25+ (%) 3/28/24hr,43
784,Exercise + Testosterone,MEAN,POST_TEST,5,CD8+/CD69+/CD25+ (%) 3/28/24hr,37
785,Exercise + Testosterone,SERR,PRE_TEST,10,CD8+/CD69+/CD25+ (%) 3/28/24hr,3.3
786,Exercise + Testosterone,SERR,IN_TEST,28,CD8+/CD69+/CD25+ (%) 3/28/24hr,3.8
787,Exercise + Testosterone,SERR,IN_TEST,71,CD8+/CD69+/CD25+ (%) 3/28/24hr,3.6
788,Exercise + Testosterone,SERR,POST_TEST,5,CD8+/CD69+/CD25+ (%) 3/28/24hr,2.4
789,Exercise + Testosterone,TTEST,PRE_TEST,10,CD8+/CD69+/CD25+ (%) 3/28/24hr,NA
790,Exercise + Testosterone,TTEST,IN_TEST,28,CD8+/CD69+/CD25+ (%) 3/28/24hr,0.428
791,Exercise + Testosterone,TTEST,IN_TEST,71,CD8+/CD69+/CD25+ (%) 3/28/24hr,0.191
792,Exercise + Testosterone,TTEST,POST_TEST,5,CD8+/CD69+/CD25+ (%) 3/28/24hr,0.566
